総件数,ソート最優先キー,検査ID,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,臨時_基準期間ID,実施主体,実施事業者1,実施事業者2,他区検査依頼,依頼先他区,他区検査依頼内容,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,休止フラグ,休止期間_開始,休止期間_終了,廃止フラグ,廃止日,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,実施主体名称,実施事業者1名称,実施事業者2名称,依頼先他区所管区名称1,依頼先他区所管区名称2,T_定期検査ひな型ID,T_定期検査ひな型名称,T_設備全般検査フラグ,T_検査名称,T_設備カテゴリID,T_基準期間ID,T_補足,SK_設備カテゴリID,SK_組織区分,SK_レベル1,SK_レベル2,SK_レベル3,SK_レベル4,SK_レベル5,SK_任意項目,B1_基準期間ID,B1_表示用基準期間,B1_基準期間,B1_基準期間単位,B1_許容期間,B1_許容期間単位,B1_アラート出力,B2_基準期間ID,B2_表示用基準期間,B2_基準期間,B2_基準期間単位,B2_許容期間,B2_許容期間単位,B2_アラート出力,KS_検査設備ID,KS_検査設備名,KS_検査設備名_検査表表示用,KS_設置場所ID,KS_設置場所_計画表示用,KS_設備カテゴリID,KS_設置年月日,KS_稼働年月日,KS_所管区ID,KS_実施基準対象設備フラグ,KS_廃止フラグ,KS_廃止日,KS_休止フラグ,KS_休止期間_開始日,KS_休止期間_終了日,KS_関連検査設備ID,KS_関連検査設備名称,KS_補足,KS_任意項目,KS_直営保守,SB_設置場所ID,SB_路線ID,SB_場所種別,SB_場所名称,SB_下位場所名称,SB_その他名称,SB_任意項目,KN_実施基準対象検査内容フラグ,J3_任意項目,K_変更理由,作業コード名称
2669,,1680,受送・配電線路設備（設備全般）_2か月検査_池袋駅～新大塚Ａ線,塚Ａ線,2008/2/15,1171,2001,NULL,1,1,NULL,0,NULL,NULL,あ,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1680,0,2023/5/29 10:16,214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1171,受送・配電線路設備-設備全般_池袋駅～新大塚Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_池袋駅～新大塚Ａ線_丸ノ内線電機区,2,池袋駅～新大塚Ａ線,105,,,56,0,0,,0,,,NULL,NULL,1,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,a,PPA02
2669,,1681,受送・配電線路設備（設備全般）_2か月検査_新大塚駅～茗荷谷Ａ線,谷Ａ線,2008/2/15,1172,2001,NULL,1,1,NULL,0,NULL,NULL,か,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1681,0,2023/5/31 11:56,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1172,受送・配電線路設備-設備全般_新大塚駅～茗荷谷Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_新大塚駅～茗荷谷Ａ線_丸ノ内線電機区,2,新大塚駅～茗荷谷Ａ線,105,,,56,0,0,,0,,,NULL,NULL,2,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,A,PPA02
2669,,1682,受送・配電線路設備（設備全般）_2か月検査_茗荷谷駅～後楽園Ａ線,園Ａ線,2008/2/15,1173,2001,NULL,1,1,NULL,0,NULL,NULL,さ,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1682,0,2023/5/31 11:56,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1173,受送・配電線路設備-設備全般_茗荷谷駅～後楽園Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_茗荷谷駅～後楽園Ａ線_丸ノ内線電機区,2,茗荷谷駅～後楽園Ａ線,105,,,56,0,0,,0,,,NULL,NULL,3,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,あ,PPA02
2669,,1683,受送・配電線路設備（設備全般）_2か月検査_後楽園駅～本郷三丁目Ａ線,目Ａ線,2008/2/15,1174,2001,NULL,1,1,NULL,0,NULL,NULL,た,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1683,0,2023/5/31 11:56,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1174,受送・配電線路設備-設備全般_後楽園駅～本郷三丁目Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_後楽園駅～本郷三丁目Ａ線_丸ノ内線電機区,2,後楽園駅～本郷三丁目Ａ線,105,,,56,0,0,,0,,,NULL,NULL,4,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,ア,PPA02
2669,,1684,受送・配電線路設備（設備全般）_2か月検査_本郷三丁目駅～御茶ノ水Ａ線,水Ａ線,2008/2/15,1175,2001,NULL,1,1,NULL,0,NULL,NULL,な,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1684,0,2023/5/31 11:57,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1175,受送・配電線路設備-設備全般_本郷三丁目駅～御茶ノ水Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_本郷三丁目駅～御茶ノ水Ａ線_丸ノ内線電機区,2,本郷三丁目駅～御茶ノ水Ａ線,105,,,56,0,0,,0,,,NULL,NULL,5,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,あ３,PPA02
2669,,1685,受送・配電線路設備（設備全般）_2か月検査_御茶ノ水駅～淡路町Ａ線,町Ａ線,2008/2/15,1176,2001,NULL,1,1,NULL,0,NULL,NULL,は,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1685,0,2023/5/31 11:57,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1176,受送・配電線路設備-設備全般_御茶ノ水駅～淡路町Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_御茶ノ水駅～淡路町Ａ線_丸ノ内線電機区,2,御茶ノ水駅～淡路町Ａ線,105,,,56,0,0,,0,,,NULL,NULL,6,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,あ4,PPA02
2669,,1686,受送・配電線路設備（設備全般）_2か月検査_淡路町駅～大手町Ａ線,町Ａ線,2008/2/15,1177,2001,NULL,1,1,NULL,0,NULL,NULL,ま,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1686,0,2023/5/31 11:57,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1177,受送・配電線路設備-設備全般_淡路町駅～大手町Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_淡路町駅～大手町Ａ線_丸ノ内線電機区,2,淡路町駅～大手町Ａ線,105,,,56,0,0,,0,,,NULL,NULL,7,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,ｶ,PPA02
2669,,1687,受送・配電線路設備（設備全般）_2か月検査_大手町駅～東京Ａ線,京Ａ線,2008/2/15,1178,2001,NULL,1,1,NULL,0,NULL,NULL,や,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1687,0,2023/5/31 11:57,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1178,受送・配電線路設備-設備全般_大手町駅～東京Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_大手町駅～東京Ａ線_丸ノ内線電機区,2,大手町駅～東京Ａ線,105,,,56,0,0,,0,,,NULL,NULL,8,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1688,受送・配電線路設備（設備全般）_2か月検査_東京駅～銀座Ａ線,座Ａ線,2008/2/15,1179,2001,NULL,1,1,NULL,0,NULL,NULL,ら,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1688,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1179,受送・配電線路設備-設備全般_東京駅～銀座Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_東京駅～銀座Ａ線_丸ノ内線電機区,2,東京駅～銀座Ａ線,105,,,56,0,0,,0,,,NULL,NULL,9,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1689,受送・配電線路設備（設備全般）_2か月検査_銀座駅～霞ケ関Ａ線,関Ａ線,2008/2/15,1180,2001,NULL,1,1,NULL,0,NULL,NULL,わ,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1689,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1180,受送・配電線路設備-設備全般_銀座駅～霞ケ関Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_銀座駅～霞ケ関Ａ線_丸ノ内線電機区,2,銀座駅～霞ケ関Ａ線,105,,,56,0,0,,0,,,NULL,NULL,10,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1690,受送・配電線路設備（設備全般）_2か月検査_霞ケ関駅～国会議事堂前Ａ線,前Ａ線,2008/2/15,1181,2001,NULL,1,1,NULL,0,NULL,NULL,ん,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1690,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1181,受送・配電線路設備-設備全般_霞ケ関駅～国会議事堂前Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_霞ケ関駅～国会議事堂前Ａ線_丸ノ内線電機区,2,霞ケ関駅～国会議事堂前Ａ線,105,,,56,0,0,,0,,,NULL,NULL,11,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1691,受送・配電線路設備（設備全般）_2か月検査_国会議事堂前駅～赤坂見附Ａ線,附Ａ線,2008/2/15,1182,2001,NULL,1,1,NULL,0,NULL,NULL,A,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1691,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1182,受送・配電線路設備-設備全般_国会議事堂前駅～赤坂見附Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_国会議事堂前駅～赤坂見附Ａ線_丸ノ内線電機区,2,国会議事堂前駅～赤坂見附Ａ線,105,,,56,0,0,,0,,,NULL,NULL,12,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1692,受送・配電線路設備（設備全般）_2か月検査_赤坂見附駅～四ツ谷Ａ線,谷Ａ線,2008/2/15,1183,2001,NULL,1,1,NULL,0,NULL,NULL,B1,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1692,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1183,受送・配電線路設備-設備全般_赤坂見附駅～四ツ谷Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_赤坂見附駅～四ツ谷Ａ線_丸ノ内線電機区,2,赤坂見附駅～四ツ谷Ａ線,105,,,56,0,0,,0,,,NULL,NULL,13,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1693,受送・配電線路設備（設備全般）_2か月検査_四ツ谷駅～四谷三丁目Ａ線,目Ａ線,2008/2/15,1184,2001,NULL,1,1,NULL,0,NULL,NULL,C,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1693,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1184,受送・配電線路設備-設備全般_四ツ谷駅～四谷三丁目Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_四ツ谷駅～四谷三丁目Ａ線_丸ノ内線電機区,2,四ツ谷駅～四谷三丁目Ａ線,105,,,56,0,0,,0,,,NULL,NULL,14,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1694,受送・配電線路設備（設備全般）_2か月検査_四谷三丁目駅～新宿御苑前Ａ線,前Ａ線,2008/2/15,1185,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1694,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1185,受送・配電線路設備-設備全般_四谷三丁目駅～新宿御苑前Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_四谷三丁目駅～新宿御苑前Ａ線_丸ノ内線電機区,2,四谷三丁目駅～新宿御苑前Ａ線,105,,,56,0,0,,0,,,NULL,NULL,15,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1695,受送・配電線路設備（設備全般）_2か月検査_新宿御苑前駅～新宿三丁目Ａ線,目Ａ線,2008/2/15,1186,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1695,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1186,受送・配電線路設備-設備全般_新宿御苑前駅～新宿三丁目Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_新宿御苑前駅～新宿三丁目Ａ線_丸ノ内線電機区,2,新宿御苑前駅～新宿三丁目Ａ線,105,,,56,0,0,,0,,,NULL,NULL,16,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1696,受送・配電線路設備（設備全般）_2か月検査_新宿三丁目駅～新宿Ａ線,宿Ａ線,2008/2/15,1187,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1696,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1187,受送・配電線路設備-設備全般_新宿三丁目駅～新宿Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_新宿三丁目駅～新宿Ａ線_丸ノ内線電機区,2,新宿三丁目駅～新宿Ａ線,105,,,56,0,0,,0,,,NULL,NULL,17,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1697,受送・配電線路設備（設備全般）_2か月検査_新宿駅～西新宿Ａ線,宿Ａ線,2008/2/15,1188,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1697,0,2023/5/31 11:58,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1188,受送・配電線路設備-設備全般_新宿駅～西新宿Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_新宿駅～西新宿Ａ線_丸ノ内線電機区,2,新宿駅～西新宿Ａ線,105,,,56,0,0,,0,,,NULL,NULL,18,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1698,受送・配電線路設備（設備全般）_2か月検査_西新宿駅～中野坂上Ａ線,上Ａ線,2008/2/15,1189,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1698,0,2023/5/31 11:59,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1189,受送・配電線路設備-設備全般_西新宿駅～中野坂上Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_西新宿駅～中野坂上Ａ線_丸ノ内線電機区,2,西新宿駅～中野坂上Ａ線,105,,,56,0,0,,0,,,NULL,NULL,19,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1699,受送・配電線路設備（設備全般）_2か月検査_中野坂上駅～新中野Ａ線,野Ａ線,2008/2/15,1190,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1699,0,2023/5/31 11:59,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1190,受送・配電線路設備-設備全般_中野坂上駅～新中野Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_中野坂上駅～新中野Ａ線_丸ノ内線電機区,2,中野坂上駅～新中野Ａ線,105,,,56,0,0,,0,,,NULL,NULL,20,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1700,受送・配電線路設備（設備全般）_2か月検査_新中野駅～東高円寺Ａ線,寺Ａ線,2008/2/15,1191,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1700,0,2023/5/31 11:59,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1191,受送・配電線路設備-設備全般_新中野駅～東高円寺Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_新中野駅～東高円寺Ａ線_丸ノ内線電機区,2,新中野駅～東高円寺Ａ線,105,,,56,0,0,,0,,,NULL,NULL,21,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1701,受送・配電線路設備（設備全般）_2か月検査_東高円寺駅～新高円寺Ａ線,寺Ａ線,2008/2/15,1192,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1701,0,2023/5/31 11:59,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1192,受送・配電線路設備-設備全般_東高円寺駅～新高円寺Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_東高円寺駅～新高円寺Ａ線_丸ノ内線電機区,2,東高円寺駅～新高円寺Ａ線,105,,,56,0,0,,0,,,NULL,NULL,22,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2669,,1702,受送・配電線路設備（設備全般）_2か月検査_新高円寺駅～南阿佐ヶ谷Ａ線,谷Ａ線,2008/2/15,1193,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,偶数月実施,受送・配電線路設備のため,1,0,NULL,NULL,0,NULL,1702,0,2023/5/31 11:59,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,受送補足,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1193,受送・配電線路設備-設備全般_新高円寺駅～南阿佐ヶ谷Ａ線_丸ノ内線電機区,受送・配電線路設備-設備全般_新高円寺駅～南阿佐ヶ谷Ａ線_丸ノ内線電機区,2,新高円寺駅～南阿佐ヶ谷Ａ線,105,,,56,0,0,,0,,,NULL,NULL,23,,0,2,2,5,丸ノ内線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
